title,my_rating,authors,publisher,publishedDate,pageCount,categories,averageRating,ratingsCount,description,thumbnail,infoLink
Diary of a Wimpy Kid 3 : The Last Stra,2.5,Jeff Kinney,Puffin Books,06-10-2009,224,Children's stories,4.5,15,"Greg's dad, Frank, is on a mission - a mission to make this wimpy kid, well, less wimpy. All manner of 'manly' physical activities are planned, but Greg just about manages to find a way out of them. That is until military academy is mentioned and Greg realizes that he's going to have to come up with something very special to get out of this one.",,http://books.google.co.in/books?id=SuJWPwAACAAJ&dq=isbn:9780141324920&hl=&source=gbs_api
The Ugly Truth,3,Jeff Kinney,Puffin Books,2012,217,Juvenile Fiction,5,1,"Diary of a Wimpy Kid: The Ugly Truth is the massively funny fifth title in the highly-illustrated, bestselling and award-winning Diary of a Wimpy Kid series by Jeff Kinney. Perfect for both boys and girls of 8+, reluctant readers and all the millions of devoted Wimpy Kid fans out there. You can also discover Greg on the big screen in any one of the three Wimpy Kid Movie box office smashes.The massively funny fifth book in the bestselling and award-winning Diary of a Wimpy Kid series.Greg Heffley has always been in a hurry to grow up. But is getting older really all it's cracked up to be?Suddenly Greg is dealing with the pressures of boy-girl parties, increased responsibilities, and even the awkward changes that come with getting older. And after a fight with his best friend Rowley, it looks like Greg is going to have to face the ""ugly truth"" all by himself . . .Praise for Jeff Kinney and the Diary of a Wimpy Kid series:'The world has gone crazy for Jeff Kinney's Diary of a Wimpy Kid series' - Sun'Kinney is right up there with J K Rowling as one of the bestselling children's authors on the planet' - Independent'Hilarious!' - Sunday Telegraph'The most hotly anticipated children's book of the year is here - Diary of a Wimpy Kid' - The Big IssueAs well as being an international bestselling author, Jeff Kinney is also an online developer and designer. He is the creator of the children's virtual world, poptropica where you can also find the Wimpy Kid boardwalk. He was named one of Time magazine's 100 Most Influential People in 2009. He lives with his family in Massachusetts, USA. www.wimpykidclub.co.uk",http://books.google.com/books/content?id=Xm8mYAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=Xm8mYAAACAAJ&dq=isbn:9780141340821&hl=&source=gbs_api
Dog Days,3,Jeff Kinney,Puffin Books,2011,214,Children's stories,4,8,"Diary of a Wimpy Kid: Dog Days is the super funny fourth title in the highly-illustrated, bestselling and award-winning Diary of a Wimpy Kid series by Jeff Kinney. Perfect for both boys and girls of 8+, reluctant readers and all the millions of devoted Wimpy Kid fans out there. Dog Days is also a major motion picture and box office smash.The fourth mega-selling instalment in the hilarious Diary of a Wimpy Kid series!The way I like to spend my summer holidays is in front of the TV, playing video games with the curtains closed and the light turned off.Unfortunately, Mom's idea of the perfect summer holiday is different from mine.Greg's mom has a vision of ""family togetherness"" that really doesn't sound a whole lot of fun.But there's a brand-new addition to the Heffley family to contend with and it looks like Greg might be outnumbered. It could be a real dog of a summer . . .Praise for Jeff Kinney and the Diary of a Wimpy Kid series:'The world has gone crazy for Jeff Kinney's Diary of a Wimpy Kid series' - Sun'Kinney is right up there with J K Rowling as one of the bestselling children's authors on the planet' - Independent'Hilarious!' - Sunday Telegraph'The most hotly anticipated children's book of the year is here - Diary of a Wimpy Kid' - The Big IssueAs well as being an international bestselling author, Jeff Kinney is also an online developer and designer. He is the creator of the children's virtual world, poptropica where you can also find the Wimpy Kid boardwalk. He was named one of Time magazine's 100 Most Influential People in 2009. He lives with his family in Massachusetts, USA.",http://books.google.com/books/content?id=XMJ-QwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=XMJ-QwAACAAJ&dq=isbn:9780141331973&hl=&source=gbs_api
Hard Luck,2.5,Jeff Kinney,Puffin Books,2013,0,Bullying,,,"Greg Heffley's on a losing streak. His best friend, Rowley Jefferson, has ditched him, and finding new friends in middle school is proving to be a tough task. To change his fortunes, Greg decides to take a leap of faith and turn his decisions over to chance. Will a roll of the dice turn things around, or is Greg's life destined to be just another hard-luck story?",http://books.google.com/books/content?id=Vde2mgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=Vde2mgEACAAJ&dq=isbn:9780141350677&hl=&source=gbs_api
Rodrick Rules,3,Jeff Kinney,Puffin Books,01-01-2009,216,Brothers,4.5,16,"Rodrick Rules is the hilarious sequel to bestselling and award-winning Diary of a Wimpy Kid. Perfect for readers of 8+, reluctant readers and all the millions of Wimpy Kid fans out there. Rodrick Rules was also a major movie hit at the box-office and the rib-tickling third Wimpy Kid movie, Dog Days released in the UK in August 2012!Whatever you do, don't ask Greg about his summer vacation because he definitely doesn't want to talk about it . . .It's a brand-new year and a brand-new journal and Greg is keen to put the humiliating (and secret!) events of last summer firmly behind him. But someone knows everything - someone whose job it is to most definitely not keep anything embarrassing of Greg's private - his big brother, Rodrick. How can Greg make it through this new school year with his not-quite-cool reputation intact?Praise for Jeff Kinney and the Diary of a Wimpy Kid series:'The world has gone crazy for Jeff Kinney's Diary of a Wimpy Kid series' - Sun'Kinney is right up there with J K Rowling as one of the bestselling children's authors on the planet' - Independent'Hilarious!' - Sunday Telegraph'The most hotly anticipated children's book of the year is here - Diary of a Wimpy Kid' - The Big IssueAs well as being an international bestselling author, Jeff Kinney is also an online developer and designer. He is the creator of the children's virtual world, poptropica where you can also find the Wimpy Kid island. He was named one of Time magazine's 100 Most Influential People in 2009. He lives with his family in Massachusetts, USA. www.wimpykidclub.co.uk",http://books.google.com/books/content?id=GYDFPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=GYDFPQAACAAJ&dq=isbn:9780141324913&hl=&source=gbs_api
Diary of a Wimpy Kid,2.5,Jeff Kinney,Puffin Books,2007,228,Juvenile Fiction,4,85,"Greg Heffley finds himself thrust into a new year and a new school where undersize weaklings share the corridors with kids who are taller, meaner and already shaving. Greg is happy to have his sidekick, Rowley, along for the ride. When Rowley's star starts to rise, Greg tries to use his best friend's popularity to his own advantage.",http://books.google.com/books/content?id=Ln4HejRlMXYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=Ln4HejRlMXYC&dq=isbn:9780141324906&hl=&source=gbs_api
Night of the Living Dummy II,3.5,R. L. Stine,Scholastic Paperbacks,1995,120,Juvenile Fiction,,,"Amy gets a new ventriloquist dummy, Slappy, and horrible things start happening.",http://books.google.com/books/content?id=E4SdPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=E4SdPwAACAAJ&dq=isbn:9780590483490&hl=&source=gbs_api
Welcome to Dead House,3.5,R. L. Stine,Scholastic Paperbacks,1992,148,Juvenile Fiction,4,5,"After moving to Dark Falls, Amanda and Josh learn the horrible truth about the town.",http://books.google.com/books/content?id=Asl0VCoBDu0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=Asl0VCoBDu0C&dq=isbn:9780590453653&hl=&source=gbs_api
The Haunted School,3.5,R. L. Stine,Scholastic Paperbacks,01-10-2005,120,Juvenile Fiction,,,"While lost in a maze of empty classrooms in his new school, Tommy Frazer begins to hear the voices of kids crying for help from behind the walls.",http://books.google.com/books/content?id=VR8LngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=VR8LngEACAAJ&dq=isbn:9780439774758&hl=&source=gbs_api
Goosebumps,3,R. L. Stine,Scholastic Paperbacks,1992,,Horror tales,,,"Five of the best-selling Goosebumps books with their original covers, in an exclusive retro collector's tin.",http://books.google.com/books/content?id=NM3ftAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=NM3ftAEACAAJ&dq=isbn:9780590477383&hl=&source=gbs_api
The Curse of Camp Cold Lake,3,R. L. Stine,Scholastic Paperbacks,1997,114,Juvenile Fiction,,,"Nobody at camp wants to be Sarah's water sports buddy--nobody except Della, a ghost who wants Sarah to be buddies with her forever!",http://books.google.com/books/content?id=Ky_QngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=Ky_QngEACAAJ&dq=isbn:9780590568937&hl=&source=gbs_api
Night of the Living Dummy III,3,R. L. Stine,Scholastic Paperbacks,1996,148,Juvenile Fiction,4,2,"Trina O'Dell's dad has lots of dummies in the attic from his old ventriloquist act, but now there are voices in the attic and dummies keep showing up in the strangest places.",http://books.google.com/books/content?id=wJqISIetIlkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=wJqISIetIlkC&dq=isbn:9780590568777&hl=&source=gbs_api
Harry Potter and the Chamber of Secrets,3,J. K. Rowling,Bloomsbury Publishing,01-01-2014,373,Juvenile Fiction,,,"Celebrate 20 years of Harry Potter magic! Harry Potter's summer has included the worst birthday ever, doomy warnings from a house-elf called Dobby, and rescue from the Dursleys by his friend Ron Weasley in a magical flying car! Back at Hogwarts School of Witchcraft and Wizardry for his second year, Harry hears strange whispers echo through empty corridors - and then the attacks start. Students are found as though turned to stone ... Dobby's sinister predictions seem to be coming true.These new editions of the classic and internationally bestselling, multi-award-winning series feature instantly pick-up-able new jackets by Jonny Duddle, with huge child appeal, to bring Harry Potter to the next generation of readers. It's time to PASS THE MAGIC ON ...",http://books.google.com/books/content?id=SJnHBAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=SJnHBAAAQBAJ&dq=isbn:9781408855669&hl=&source=gbs_api
Harry Potter and the Prisoner of Azkaban,4,J. K. Rowling,Bloomsbury Publishing,01-09-2014,475,Juvenile Fiction,,,"Celebrate 20 years of Harry Potter magic! When the Knight Bus crashes through the darkness and screeches to a halt in front of him, it's the start of another far from ordinary year at Hogwarts for Harry Potter. Sirius Black, escaped mass-murderer and follower of Lord Voldemort, is on the run - and they say he is coming after Harry. In his first ever Divination class, Professor Trelawney sees an omen of death in Harry's tea leaves ... But perhaps most terrifying of all are the Dementors patrolling the school grounds, with their soul-sucking kiss.These new editions of the classic and internationally bestselling, multi-award-winning series feature instantly pick-up-able new jackets by Jonny Duddle, with huge child appeal, to bring Harry Potter to the next generation of readers. It's time to PASS THE MAGIC ON ...",http://books.google.com/books/content?id=XWswDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=XWswDQAAQBAJ&dq=isbn:9781408855676&hl=&source=gbs_api
Harry Potter and the Order of the Phoenix,4,J. K. Rowling,Bloomsbury Publishing,01-09-2014,815,Fiction,,,"Celebrate 20 years of Harry Potter magic! Dark times have come to Hogwarts. After the Dementors' attack on his cousin Dudley, Harry Potter knows that Voldemort will stop at nothing to find him. There are many who deny the Dark Lord's return, but Harry is not alone: a secret order gathers at Grimmauld Place to fight against the Dark forces. Harry must allow Professor Snape to teach him how to protect himself from Voldemort's savage assaults on his mind. But they are growing stronger by the day and Harry is running out of time.These new editions of the classic and internationally bestselling, multi-award-winning series feature instantly pick-up-able new jackets by Jonny Duddle, with huge child appeal, to bring Harry Potter to the next generation of readers. It's time to PASS THE MAGIC ON ...",http://books.google.com/books/content?id=p2swDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=p2swDQAAQBAJ&dq=isbn:9781408855690&hl=&source=gbs_api
Harry Potter and the Half-Blood Prince,1,J. K. Rowling,Bloomsbury Publishing,01-01-2014,557,Juvenile Fiction,5,3,"Fantasy. Endnu en gang skal Harry Potter tilbage til troldmandsskolen Hogwart efter at have tilbragt nogle kedelige uger hos sin plejefamilie. Han glæder sig, men han ved heller ikke, hvilke uhyggelige oplevelser han har i vente",http://books.google.com/books/content?id=O2wwDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=O2wwDQAAQBAJ&dq=isbn:9781408855706&hl=&source=gbs_api
Harry Potter and the Deathly Hallows,3.5,J. K. Rowling,Bloomsbury Publishing,01-01-2014,638,Fiction,4.5,2,"Burdened with the dark, dangerous, and seemingly impossible task of locating and destroying Voldemort's remaining Horcruxes, Harry, feeling alone and uncertain about his future, struggles to find the inner strength he needs to follow the path set out before him.",http://books.google.com/books/content?id=I5nHBAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=I5nHBAAAQBAJ&dq=isbn:9781408855713&hl=&source=gbs_api
Harry Potter and the Philosopher's Stone,3.5,J. K. Rowling,Bloomsbury Publishing,01-01-2014,345,Juvenile Fiction,5,1,"Harry Potter has never even heard of Hogwarts when the letters start dropping on the doormat at number four, Privet Drive. Addressed in green ink on yellowish parchment with a purple seal, they are swiftly confiscated by his grisly aunt and uncle. Then, on Harry's eleventh birthday, a great beetle-eyed giant of a man called Rubeus Hagrid bursts in with some astonishing news: Harry Potter is a wizard, and he has a place at Hogwarts School of Witchcraft and Wizardry. An incredible adventure is about to begin!These new editions of the classic and internationally bestselling, multi-award-winning series feature instantly pick-up-able new jackets by Jonny Duddle, with huge child appeal, to bring Harry Potter to the next generation of readers. It's time to PASS THE MAGIC ON .",http://books.google.com/books/content?id=E2swDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=E2swDQAAQBAJ&dq=isbn:9781408855652&hl=&source=gbs_api
The Hidden Oracle,3,Rick Riordan,Puffin Books,2017-05,0,Children's stories,,,"After angering his father Zeus, the god Apollo is cast down from Olympus. He must learn to survive in the modern world until he can somehow find a way to regain Zeus's favor",http://books.google.com/books/content?id=0CsWvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=0CsWvgAACAAJ&dq=isbn:9780141363929&hl=&source=gbs_api
