Album Name,Artist(s),Release Date,Total Tracks,Popularity,Genre(s),Album URL,my_rating
Collide With The Sky,Pierce The Veil,17-07-2012,12,79,metal,https://open.spotify.com/album/661Hz0qJK8WIp7vAWsqKvk,4
SCARING THE HOES,"JPEGMAFIA, Danny Brown",24-03-2023,14,61,rap,https://open.spotify.com/album/3u20OXh03DjCUzbf8XcGTq,5
I LAY DOWN MY LIFE FOR YOU,JPEGMAFIA,01-08-2024,14,66,rap,https://open.spotify.com/album/1ezs1QD5SYQ6LtxpC9y5I2,5
The New Abnormal,The Strokes,10-04-2020,9,78,rock,https://open.spotify.com/album/2xkZV2Hl1Omi8rk2D7t5lN,5
WE DON'T TRUST YOU,"Future, Metro Boomin",22-03-2024,17,84,rap,https://open.spotify.com/album/4iqbFIdGOTzXeDtt9owjQn,3
Trench,Twenty One Pilots,05-10-2018,14,77,rock,https://open.spotify.com/album/621cXqrTSSJi1WqDMSLmbL,4
PUNK TACTICS,Joey Valence & Brae,08-09-2023,14,70,rap,https://open.spotify.com/album/5L1RkN1nh5m18ZuXCktUbc,3
Bleach,Nirvana,01-06-1989,13,74,rock,https://open.spotify.com/album/1KVGLuPtrMrLlyy4Je6df7,3
"If This Isn't Nice, I Don't Know What Is",Still Woozy,13-08-2021,13,62,pop,https://open.spotify.com/album/0QnWm07An8WyO3eupjBDoP,3
Nevermind (Remastered),Nirvana,26-09-1991,13,83,rock,https://open.spotify.com/album/2UJcKiJxNryhL050F5Z1Fk,4
TA13OO,Denzel Curry,27-07-2018,13,62,rap,https://open.spotify.com/album/6idVoBWP2mt1qoMtASm3gc,3
ASTROWORLD,Travis Scott,03-08-2018,17,87,rap,https://open.spotify.com/album/41GuZcammIkupMPKH2OJ6I,3
Persona,half alive,15-11-2024,11,56,pop,https://open.spotify.com/album/5jPS8sVcP89icU78a5XHNt,3
SCRAPYARD,Quadeca,16-02-2024,15,56,indie,https://open.spotify.com/album/2uoD60Oip7rq3vjXxZ2VaD,3
NO HANDS,Joey Valence & Brae,07-06-2024,12,64,rap,https://open.spotify.com/album/1Fjelo0jZ4i1iQZBsK0pOA,4
Who Really Cares,TV Girl,25-02-2016,10,85,pop,https://open.spotify.com/album/4oL7pMxnb04uuRI7ReXmuh,3
Twin Fantasy,Car Seat Headrest,16-02-2018,10,64,indie,https://open.spotify.com/album/6gDtROOIYa6OQxwhDNkDRM,5
UTOPIA,Travis Scott,28-07-2023,19,88,rap,https://open.spotify.com/album/18NOKLkZETa4sWwLMIm0UZ,3
Charm,Clairo,12-07-2024,11,80,pop,https://open.spotify.com/album/1KNUCVXgIxKUGiuEB8eG0i,3
Cherry Bomb,"Tyler, The Creator",13-04-2015,13,69,rap,https://open.spotify.com/album/621OhgnZJ7Pz8iUazct1In,2
Blonde,Frank Ocean,20-08-2016,17,89,pop,https://open.spotify.com/album/3mH6qwIy9crq0I9YQbOuDf,5
OK Computer,Radiohead,28-05-1997,12,87,rock,https://open.spotify.com/album/6dVIqQ8qmQ5GBnJ9shOYGE,4
DAYTONA,Pusha T,25-05-2018,7,60,rap,https://open.spotify.com/album/07bIdDDe3I3hhWpxU6tuBp,4
To Pimp A Butterfly,Kendrick Lamar,16-03-2015,16,80,rap,https://open.spotify.com/album/7ycBtnsMtyVbbwTfJwRjSP,5
The Melodic Blue (Deluxe),Baby Keem,28-10-2022,26,68,rap,https://open.spotify.com/album/5Co3CGD9lBQVNnn7q0px1g,4
Flower Boy,"Tyler, The Creator",21-07-2017,14,85,rap,https://open.spotify.com/album/2nkto6YNI4rUYTLqEwWJ3o,4
Mr. Morale & The Big Steppers,Kendrick Lamar,13-05-2022,19,82,rap,https://open.spotify.com/album/79ONNoS4M9tfIA1mYLBYVX,4
Nectar,Joji,25-09-2020,18,4,pop,https://open.spotify.com/album/5EzDhyNZuO7kuaABHwbBKX,5
channel ORANGE,Frank Ocean,10-07-2012,17,87,pop,https://open.spotify.com/album/392p3shh2jkxUxY2VHvlH8,4
King Of The Mischievous South Vol. 2,Denzel Curry,19-07-2024,15,66,rap,https://open.spotify.com/album/6LoDd1G8en4TcqdSg7yqrV,3
The Money Store,Death Grips,23-04-2012,13,60,rap,https://open.spotify.com/album/1PQDjdBpHPikAodJqjzm6a,2
Veteran,JPEGMAFIA,19-01-2018,19,57,rap,https://open.spotify.com/album/51WLEfPEEkzAWurvuY6Gco,2
GNX,Kendrick Lamar,22-11-2024,12,91,rap,https://open.spotify.com/album/0hvT3yIEysuuvkK73vgdcW,3
The Life Of Pablo,Kanye West,10-06-2016,20,80,rap,https://open.spotify.com/album/7gsWAHLeT0w7es6FofOXk1,3
CHROMAKOPIA,"Tyler, The Creator",28-10-2024,14,88,rap,https://open.spotify.com/album/0U28P0QVB1QRxpqp5IHOlH,2
Teethe,Teethe,13-11-2020,12,45,indie,https://open.spotify.com/album/0qRKIoaQDdt6ndMlJmrxSj,2
In Tongues (Deluxe),Joji,14-02-2018,16,70,pop,https://open.spotify.com/album/6ZksrxRWlJ7ExylPyJwfLJ,3
Samurai,Lupe Fiasco,28-06-2024,8,58,rap,https://open.spotify.com/album/1O6d4cNuUV78GeXv7hgr4e,2
MM..FOOD,MF DOOM,16-11-2004,15,75,rap,https://open.spotify.com/album/1UcS2nqUhxrZjrBZ3tHk2N,3
Bando Stone and The New World,Childish Gambino,19-07-2024,17,65,rap,https://open.spotify.com/album/4yUqNSK6jMi7Y6eWl03U5r,3
Nothing Happens,Wallows,22-03-2019,11,75,indie,https://open.spotify.com/album/7eed9MBclFPjjjvotfR2e9,3
Neon Pill,Cage The Elephant,17-05-2024,12,59,rock,https://open.spotify.com/album/2dGlEut1TyhAyApZ0ADIsd,2
Dark Times,Vince Staples,24-05-2024,13,62,rap,https://open.spotify.com/album/30BFY5VHii4PyWqkTubUWX,2
Clancy,Twenty One Pilots,24-05-2024,13,79,rock,https://open.spotify.com/album/1KFWgQTw3EMTQebaaepVBI,3
Rodeo,Travis Scott,04-09-2015,16,81,rap,https://open.spotify.com/album/4PWBTB6NYSKQwfo79I3prg,3
SOS,SZA,09-12-2022,23,89,pop,https://open.spotify.com/album/07w0rG5TETcyihsEIZR3qG,3
Ctrl,SZA,09-06-2017,14,83,pop,https://open.spotify.com/album/76290XdXVF9rPzGdNRWdCh,3
Black Panther The Album Music From And Inspired By,"Kendrick Lamar, SZA",09-02-2018,14,85,rap,https://open.spotify.com/album/3pLdWdkj83EYfDN6H2N8MR,3
SAVAGE MODE II,"21 Savage, Metro Boomin",02-10-2020,15,80,rap,https://open.spotify.com/album/6wTyGUWGCilBFZ837k5aRi,3
Korn,Korn,11-10-1994,12,71,metal,https://open.spotify.com/album/7D3XFJlfZIkmGWqZXm2X8z,2
Scaled And Icy,Twenty One Pilots,21-05-2021,11,73,pop,https://open.spotify.com/album/0Q5XBpCYFgUWiG9DUWyAmJ,2
Skiptracing,Mild High Club,26-08-2016,11,66,indie,https://open.spotify.com/album/6O9YDn12I4WQxUBQE9tpnN,3
Ignorance is Bliss,Skepta,31-05-2019,13,65,rap,https://open.spotify.com/album/22zpCX6Nb9ppOVklalvGec,2
Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,14-12-2018,13,79,rap,https://open.spotify.com/album/35s58BRTGAEWztPo9WqCIs,3
METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),Metro Boomin,02-06-2023,13,78,rap,https://open.spotify.com/album/1bwbZJ6khPJyVpOaqgKsoZ,3
CALL ME IF YOU GET LOST: The Estate Sale,"Tyler, The Creator",31-03-2023,24,74,rap,https://open.spotify.com/album/1GG6U2SSJPHO6XsFiBzxYv,3
Paranoid,Black Sabbath,18-09-1970,8,75,metal,https://open.spotify.com/album/4kA2o0L3tz9vFKJetiFUJI,4
Section.80,Kendrick Lamar,02-07-2011,15,74,rap,https://open.spotify.com/album/1bkN9nIkkCnXeG4yitVS1J,3
We Are Not Your Kind,Slipknot,09-08-2019,14,71,metal,https://open.spotify.com/album/754RY5WpZ2LTUZsk8kDBju,3
Toxicity,System Of A Down,04-09-2001,15,87,metal,https://open.spotify.com/album/6jWde94ln40epKIQCd8XUh,4
Angles,The Strokes,21-03-2011,10,65,rock,https://open.spotify.com/album/6Jx4cGhWHewTcfKDJKguBQ,3
Bipolar,Yot Club,31-05-2019,6,71,pop,https://open.spotify.com/album/60jUlxAOAcsiQUEW0XLroT,2
17,XXXTENTACION,25-08-2017,11,84,rap,https://open.spotify.com/album/5VdyJkLe3yvOs0l4xXbWp0,3
Summer's Over,"Jordana, TV Girl",13-10-2021,7,0,pop,https://open.spotify.com/album/4l58JlPq72gOA4veRxboVR,2
HEROES & VILLAINS,Metro Boomin,02-12-2022,15,87,rap,https://open.spotify.com/album/7txGsnDSqVMoRl6RQ9XyZP,3
My Beautiful Dark Twisted Fantasy,Kanye West,22-11-2010,13,84,rap,https://open.spotify.com/album/20r762YmB5HeofjMCiPMLv,4
